cod_grupo;grupo;cod_proceso;proceso;cod_articulo;articulo;peso;cod_estandar;nombre_estandar;t_estandar
2;MANTENIMIENTO;5;LUBRICAR / ENGRASAR;310;ANDAMIO COLGANTE DE 70 M (2 GRILLETES);53;205310;LUBRICAR / ENGRASAR_310;3
2;MANTENIMIENTO;1;MANTENIMIENTO;310;ANDAMIO COLGANTE DE 70 M (2 GRILLETES);53;201310;MANTENIMIENTO_310;55
2;MANTENIMIENTO;6;MARCAR / PINTAR;310;ANDAMIO COLGANTE DE 70 M (2 GRILLETES);53;206310;MARCAR / PINTAR_310;6
2;MANTENIMIENTO;7;SOLDADURA;310;ANDAMIO COLGANTE DE 70 M (2 GRILLETES);53;207310;SOLDADURA_310;10
2;MANTENIMIENTO;2;ENDEREZAR;1633;ANDAMIO COLGANTE DE 70 M CON ABRAZADERA (2 GRILLETES);53;2021633;ENDEREZAR_1633;10
2;MANTENIMIENTO;3;ENSAMBLAR;1633;ANDAMIO COLGANTE DE 70 M CON ABRAZADERA (2 GRILLETES);53;2031633;ENSAMBLAR_1633;6
2;MANTENIMIENTO;4;LIMPIAR;1633;ANDAMIO COLGANTE DE 70 M CON ABRAZADERA (2 GRILLETES);53;2041633;LIMPIAR_1633;20
2;MANTENIMIENTO;5;LUBRICAR / ENGRASAR;1633;ANDAMIO COLGANTE DE 70 M CON ABRAZADERA (2 GRILLETES);53;2051633;LUBRICAR / ENGRASAR_1633;3
2;MANTENIMIENTO;1;MANTENIMIENTO;1633;ANDAMIO COLGANTE DE 70 M CON ABRAZADERA (2 GRILLETES);53;2011633;MANTENIMIENTO_1633;55
2;MANTENIMIENTO;6;MARCAR / PINTAR;1633;ANDAMIO COLGANTE DE 70 M CON ABRAZADERA (2 GRILLETES);53;2061633;MARCAR / PINTAR_1633;6
2;MANTENIMIENTO;7;SOLDADURA;1633;ANDAMIO COLGANTE DE 70 M CON ABRAZADERA (2 GRILLETES);53;2071633;SOLDADURA_1633;10
2;MANTENIMIENTO;1;MANTENIMIENTO;330;ANDAMIO ESTRUCTURAL DE 1.50 X 1.50 M;15;201330;MANTENIMIENTO_330;4,66662
2;MANTENIMIENTO;1;MANTENIMIENTO;326;ANDAMIO TIJERA DE 1.20 X 1.50 M MARCO;15;201326;MANTENIMIENTO_326;14
2;MANTENIMIENTO;1;MANTENIMIENTO;328;ANDAMIO TIJERA DE 1.50 X 1.50 M MARCO;15;201328;MANTENIMIENTO_328;14
2;MANTENIMIENTO;1;MANTENIMIENTO;329;ANDAMIO TIJERA DE 1.56 X 1.50 M MARCO;15;201329;MANTENIMIENTO_329;14
2;MANTENIMIENTO;1;MANTENIMIENTO;643;ANGULO EXTERIOR DE 1200 MM;3;201643;MANTENIMIENTO_643;5,216138329
2;MANTENIMIENTO;1;MANTENIMIENTO;642;ANGULO EXTERIOR DE 600 MM;1,5;201642;MANTENIMIENTO_642;3,371710526
2;MANTENIMIENTO;1;MANTENIMIENTO;2524;ANGULO EXTERIOR GRAN FORMATO 1200 MM;4,11;2012524;MANTENIMIENTO_2524;7
2;MANTENIMIENTO;1;MANTENIMIENTO;1874;ANGULO EXTERIOR GRAN FORMATO 2400 MM;8,22;2011874;MANTENIMIENTO_1874;12
2;MANTENIMIENTO;1;MANTENIMIENTO;2542;ANGULO EXTERIOR GRAN FORMATO 600 MM;2,1;2012542;MANTENIMIENTO_2542;6
2;MANTENIMIENTO;1;MANTENIMIENTO;2728;APAREJO ELEVADOR;0;2012728;MANTENIMIENTO_2728;3
2;MANTENIMIENTO;8;REPARACION;2728;APAREJO ELEVADOR;0;2082728;REPARACION_2728;2
2;MANTENIMIENTO;1;MANTENIMIENTO;1671;BARANDA AJUSTABLE DE 3 M;4,7;2011671;MANTENIMIENTO_1671;9,856115108
2;MANTENIMIENTO;1;MANTENIMIENTO;3001;BARANDA HORIZONTAL 0.70 M ANDAMIO COLGANTE MAMPOSTERO;3;2013001;MANTENIMIENTO_3001;4
2;MANTENIMIENTO;1;MANTENIMIENTO;3157;BARANDA HORIZONTAL 1.40M ANDAMIO COLGANTE MAMPOSTERO;2,33;2013157;MANTENIMIENTO_3157;5
2;MANTENIMIENTO;1;MANTENIMIENTO;3223;BARANDA HORIZONTAL 2.10 M ANDAMIO COLGANTE MAMPOSTERO;3,5;2013223;MANTENIMIENTO_3223;6
2;MANTENIMIENTO;1;MANTENIMIENTO;3000;BARANDA HORIZONTAL 3.0 M ANDAMIO COLGANTE MAMPOSTERO;5;2013000;MANTENIMIENTO_3000;7
2;MANTENIMIENTO;1;MANTENIMIENTO;590;BARANDA PARA ESCALERA 1.40 M;3;201590;MANTENIMIENTO_590;6,5
2;MANTENIMIENTO;1;MANTENIMIENTO;2986;BARANDA PARA ESCALERA 1.40 M - DISTANCIA EJES 110 CM;3;2012986;MANTENIMIENTO_2986;3
2;MANTENIMIENTO;1;MANTENIMIENTO;2494;BARANDA PARA ESCALERA 3.00 M;0;2012494;MANTENIMIENTO_2494;4,5
2;MANTENIMIENTO;1;MANTENIMIENTO;319;BARANDA PARA ESCALERA DE ANDAMIO;5;201319;MANTENIMIENTO_319;6,5
2;MANTENIMIENTO;1;MANTENIMIENTO;351;BASE COLLAR;1,7;201351;MANTENIMIENTO_351;2,484507042
2;MANTENIMIENTO;1;MANTENIMIENTO;1687;CABLE ANDAMIO COLGANTE CERTIFICADO 100 M;26;2011687;MANTENIMIENTO_1687;25
2;MANTENIMIENTO;1;MANTENIMIENTO;3220;CABLE ANDAMIO COLGANTE CERTIFICADO 100 M PRIMARIO (DE TRABAJO);26;2013220;MANTENIMIENTO_3220;25
2;MANTENIMIENTO;1;MANTENIMIENTO;1751;CABLE ANDAMIO COLGANTE CERTIFICADO 50 m;12;2011751;MANTENIMIENTO_1751;20
2;MANTENIMIENTO;1;MANTENIMIENTO;3219;CABLE ANDAMIO COLGANTE CERTIFICADO 50 M PRIMARIO (DE TRABAJO);13;2013219;MANTENIMIENTO_3219;20
2;MANTENIMIENTO;1;MANTENIMIENTO;1048;CAN ABARCO DE 3.00 M;15,54;2011048;MANTENIMIENTO_1048;10
2;MANTENIMIENTO;1;MANTENIMIENTO;1051;CAN MADERA COMUN DE 2.00 M;10,36;2011051;MANTENIMIENTO_1051;10
2;MANTENIMIENTO;1;MANTENIMIENTO;1053;CAN MADERA COMUN DE 2.80 M;14,5;2011053;MANTENIMIENTO_1053;10
2;MANTENIMIENTO;1;MANTENIMIENTO;1054;CAN MADERA COMUN DE 3.00 M;14,5;2011054;MANTENIMIENTO_1054;10
2;MANTENIMIENTO;1;MANTENIMIENTO;1710;CANASTA 1.0 X1.0 X1.0 M;0;2011710;MANTENIMIENTO_1710;6
2;MANTENIMIENTO;8;REPARACION;1710;CANASTA 1.0 X1.0 X1.0 M;0;2081710;REPARACION_1710;30
2;MANTENIMIENTO;1;MANTENIMIENTO;1056;CARGUERA ABARCO DE 3.50 A 3.99 M;14;2011056;MANTENIMIENTO_1056;10
2;MANTENIMIENTO;1;MANTENIMIENTO;1057;CARGUERA ABARCO DE 4.00 A 4.49 M;15,7;2011057;MANTENIMIENTO_1057;10
2;MANTENIMIENTO;1;MANTENIMIENTO;1058;CARGUERA ABARCO DE 4.50 A 4.99 M;17,5;2011058;MANTENIMIENTO_1058;10
2;MANTENIMIENTO;1;MANTENIMIENTO;1061;CARGUERA ABARCO DE 6.00 A 6.49 M;22,7;2011061;MANTENIMIENTO_1061;10
2;MANTENIMIENTO;1;MANTENIMIENTO;1062;CARGUERA ABARCO DE 6.50 A 6.99 M;26,2;2011062;MANTENIMIENTO_1062;10
2;MANTENIMIENTO;1;MANTENIMIENTO;1063;CARGUERA ABARCO DE 7.00 A 7.49 M;0;2011063;MANTENIMIENTO_1063;10
2;MANTENIMIENTO;1;MANTENIMIENTO;1065;CARGUERA ABARCO DE 8.00 A 8.49 M;0;2011065;MANTENIMIENTO_1065;10
2;MANTENIMIENTO;1;MANTENIMIENTO;646;CHAPETA PARA FORMALETA METALICA;0,14;201646;MANTENIMIENTO_646;0,979500891
2;MANTENIMIENTO;1;MANTENIMIENTO;442;"CHAPETA TENSORA DE 3/8""";0;201442;MANTENIMIENTO_442;1,33332
2;MANTENIMIENTO;1;MANTENIMIENTO;1175;"CHAPOLA 1/2"" PARA ANDAMIO COMUN";0;2011175;MANTENIMIENTO_1175;0,33
2;MANTENIMIENTO;1;MANTENIMIENTO;903;CILINDRO DE 1.20 M;0;201903;MANTENIMIENTO_903;90
2;MANTENIMIENTO;1;MANTENIMIENTO;914;CILINDRO MUESTRA DE CONCRETO (DIAM. 15 CM , ALTURA 30 CM);8,3;201914;MANTENIMIENTO_914;8,75
2;MANTENIMIENTO;1;MANTENIMIENTO;2483;COLGANTE CERTIFICADO COMPLETO (MARCO-APAREJO ELEVADOR-BLOQUEO DE SEG);25;2012483;MANTENIMIENTO_2483;45
2;MANTENIMIENTO;1;MANTENIMIENTO;905;CONO CONCENTRICO DE 1.20 M;0;201905;MANTENIMIENTO_905;139
2;MANTENIMIENTO;1;MANTENIMIENTO;1894;CONO FORMALETA GRAN FORMATO;0;2011894;MANTENIMIENTO_1894;0
2;MANTENIMIENTO;1;MANTENIMIENTO;1023;CONO REFLECTIVO;0;2011023;MANTENIMIENTO_1023;1
2;MANTENIMIENTO;1;MANTENIMIENTO;915;CONO SLUMP;5;201915;MANTENIMIENTO_915;8,75
2;MANTENIMIENTO;1;MANTENIMIENTO;1581;CONVERTIDOR RETACADOR EN HIBRIDO;5;2011581;MANTENIMIENTO_1581;15
2;MANTENIMIENTO;1;MANTENIMIENTO;3094;CORBATA DESTIJERADA PARA FORMALETA METALICA DE 200 MM;0,09;2013094;MANTENIMIENTO_3094;0,67
2;MANTENIMIENTO;1;MANTENIMIENTO;651;CORBATA PARA FORMALETA METALICA DE 100 MM;0,14;201651;MANTENIMIENTO_651;0,66666
